category,lat,lon
shop_grocery,52.0759600,23.7393500
shop_grocery,52.0757018,23.7386013
station,53.8215051,30.0925679
station,53.3048835,30.1284727
station,53.4050567,30.1632797
station,53.6613742,30.2611724
station,54.5502936,26.0088027
station,54.1278133,30.2778469
station,54.5963954,25.8933148
station,54.2610601,30.2524719
station,54.1574858,30.2921509
station,54.1211075,26.0211567
shop_grocery,54.2194287,30.4503281
station,52.2315648,27.6846188
station,52.2235720,27.7483642
station,52.2280827,28.3161260
shop_grocery,53.9391237,27.6505542
station,52.2538617,28.1372026
station,52.2076675,28.5620733
station,52.2151422,28.3808666
station,52.2051115,28.4533761
post_office,52.1070305,23.7825896
post_office,52.1010900,23.7861714
restaurant,52.1033658,23.7858880
shop_grocery,52.5549137,24.4752479
station,52.2311993,27.6614486
station,52.2279243,27.6046742
station,52.6496690,28.8754244
station,52.6755470,28.8870840
station,52.1960326,24.6920208
station,52.4684724,29.5408781
station,52.2053757,28.6475113
station,52.1883318,28.7438547
station,52.1856172,28.8184613
station,52.1751386,28.9505752
shop_grocery,53.8385642,27.6471835
