year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-MA,BY-VI,5-9,58
2009,BY-MA,BY-VI,50-54,78
2009,BY-MA,BY-VI,55-59,50
2009,BY-MA,BY-VI,60-64,26
2009,BY-MA,BY-VI,65-69,26
2009,BY-MA,BY-VI,70-74,32
2009,BY-MA,BY-VI,75-79,29
2009,BY-MA,BY-VI,80 и старше,55
2009,BY-MI,BY-BR,0-4,73
2009,BY-MI,BY-BR,10-14,49
2009,BY-MI,BY-BR,15-19,943
2009,BY-MI,BY-BR,20-24,757
2009,BY-MI,BY-BR,25-29,307
2009,BY-MI,BY-BR,30-34,199
2009,BY-MI,BY-BR,35-39,119
2009,BY-MI,BY-BR,40-44,85
2009,BY-MI,BY-BR,45-49,76
2009,BY-MI,BY-BR,5-9,54
2009,BY-MI,BY-BR,50-54,78
2009,BY-MI,BY-BR,55-59,34
2009,BY-MI,BY-BR,60-64,33
2009,BY-MI,BY-BR,65-69,17
2009,BY-MI,BY-BR,70-74,24
2009,BY-MI,BY-BR,75-79,23
2009,BY-MI,BY-BR,80 и старше,39
2009,BY-MI,BY-HM,0-4,296
2009,BY-MI,BY-HM,10-14,373
2009,BY-MI,BY-HM,15-19,9153
2009,BY-MI,BY-HM,20-24,9081
2009,BY-MI,BY-HM,25-29,1907
2009,BY-MI,BY-HM,30-34,835
2009,BY-MI,BY-HM,35-39,509
2009,BY-MI,BY-HM,40-44,406
2009,BY-MI,BY-HM,45-49,332
2009,BY-MI,BY-HM,5-9,324
2009,BY-MI,BY-HM,50-54,216
2009,BY-MI,BY-HM,55-59,151
2009,BY-MI,BY-HM,60-64,130
2009,BY-MI,BY-HM,65-69,129
2009,BY-MI,BY-HM,70-74,191
2009,BY-MI,BY-HM,75-79,213
2009,BY-MI,BY-HM,80 и старше,418
2009,BY-MI,BY-HO,0-4,43
2009,BY-MI,BY-HO,10-14,48
2009,BY-MI,BY-HO,15-19,353
2009,BY-MI,BY-HO,20-24,538
2009,BY-MI,BY-HO,25-29,254
2009,BY-MI,BY-HO,30-34,198
2009,BY-MI,BY-HO,35-39,166
2009,BY-MI,BY-HO,40-44,130
2009,BY-MI,BY-HO,45-49,110
2009,BY-MI,BY-HO,5-9,34
2009,BY-MI,BY-HO,50-54,76
2009,BY-MI,BY-HO,55-59,43
2009,BY-MI,BY-HO,60-64,21
2009,BY-MI,BY-HO,65-69,12
2009,BY-MI,BY-HO,70-74,15
2009,BY-MI,BY-HO,75-79,19
2009,BY-MI,BY-HO,80 и старше,28
2009,BY-MI,BY-HR,0-4,88
2009,BY-MI,BY-HR,10-14,60
2009,BY-MI,BY-HR,15-19,639
2009,BY-MI,BY-HR,20-24,727
2009,BY-MI,BY-HR,25-29,286
2009,BY-MI,BY-HR,30-34,221
2009,BY-MI,BY-HR,35-39,158
2009,BY-MI,BY-HR,40-44,135
2009,BY-MI,BY-HR,45-49,91
2009,BY-MI,BY-HR,5-9,68
2009,BY-MI,BY-HR,50-54,76
2009,BY-MI,BY-HR,55-59,48
