territory_id,metric,year,value,dtype
r-svietlahorski,wage_byn,2016,649.9,d
r-svietlahorski,wage_byn,2017,751.7,d
r-svietlahorski,wage_byn,2018,890.9,d
r-svietlahorski,wage_byn,2019,1007.2,d
r-svietlahorski,wage_byn,2020,1200.2,d
r-svietlahorski,wage_byn,2021,1422.5,d
r-svietlahorski,wage_byn,2022,1650.6,d
r-svietlahorski,wage_byn,2023,1954.1,d
r-svietlahorski,wage_byn,2024,2290.5,d
r-svietlahorski,wage_byn,2025,2685.3,d
r-svietlahorski,employed_persons,2010,40926.0,d
r-svietlahorski,employed_persons,2011,40959.0,d
r-svietlahorski,employed_persons,2012,39801.0,d
r-svietlahorski,employed_persons,2013,38862.0,d
r-svietlahorski,employed_persons,2014,38235.0,d
r-svietlahorski,employed_persons,2015,37373.0,d
r-svietlahorski,employed_persons,2016,36071.6,d
r-svietlahorski,employed_persons,2017,35306.0,d
r-svietlahorski,employed_persons,2018,35338.0,d
r-svietlahorski,employed_persons,2019,34941.0,d
r-svietlahorski,employed_persons,2020,34705.0,d
r-svietlahorski,employed_persons,2021,34159.0,d
r-svietlahorski,employed_persons,2022,33947.0,d
r-svietlahorski,employed_persons,2023,33602.0,d
r-svietlahorski,employed_persons,2024,32983.0,d
r-svietlahorski,k_oblast_coverage_2019,2019,1.1803,m
r-svietlahorski,avg_pension_oblast_byn,2025,918.07,d
r-svietlahorski,min_minutes_to_minsk,2026,155.8,d
r-svislacki,wage_byn,2010,87.6576,d
r-svislacki,wage_byn,2011,136.5837,d
r-svislacki,wage_byn,2012,266.7349,d
r-svislacki,wage_byn,2013,361.4834,d
r-svislacki,wage_byn,2014,441.9899,d
r-svislacki,wage_byn,2015,492.1379,d
r-svislacki,wage_byn,2016,503.6,d
r-svislacki,wage_byn,2017,558.6,d
r-svislacki,wage_byn,2018,679.9,d
r-svislacki,wage_byn,2019,767.5,d
r-svislacki,wage_byn,2020,892.4,d
r-svislacki,wage_byn,2021,1030.2,d
r-svislacki,wage_byn,2022,1204.9,d
r-svislacki,wage_byn,2023,1442.9,d
r-svislacki,wage_byn,2024,1759.0,d
r-svislacki,wage_byn,2025,2125.2,d
r-svislacki,employed_persons,2010,8345.0,d
r-svislacki,employed_persons,2011,8191.0,d
r-svislacki,employed_persons,2012,8077.0,d
r-svislacki,employed_persons,2013,7900.0,d
r-svislacki,employed_persons,2014,7543.0,d
r-svislacki,employed_persons,2015,7512.0,d
r-svislacki,employed_persons,2016,7150.0,d
r-svislacki,employed_persons,2017,6849.0,d
r-svislacki,employed_persons,2018,6623.0,d
r-svislacki,employed_persons,2019,6237.0,d
r-svislacki,employed_persons,2020,6056.0,d
r-svislacki,employed_persons,2021,5900.0,d
r-svislacki,employed_persons,2022,5868.0,d
