year,territory_id,age_group,sex,locality,pop
2019,BY-HR,50-54,f,total,38899
2019,BY-HR,50-54,f,urban,28128
2019,BY-HR,50-54,m,rural,12338
2019,BY-HR,50-54,m,total,35302
2019,BY-HR,50-54,m,urban,22964
2019,BY-HR,50-54,t,rural,23109
2019,BY-HR,50-54,t,total,74201
2019,BY-HR,50-54,t,urban,51092
2019,BY-HR,55-59,f,rural,11450
2019,BY-HR,55-59,f,total,44225
2019,BY-HR,55-59,f,urban,32775
2019,BY-HR,55-59,m,rural,12565
2019,BY-HR,55-59,m,total,38028
2019,BY-HR,55-59,m,urban,25463
2019,BY-HR,55-59,t,rural,24015
2019,BY-HR,55-59,t,total,82253
2019,BY-HR,55-59,t,urban,58238
2019,BY-HR,60-64,f,rural,10175
2019,BY-HR,60-64,f,total,39225
2019,BY-HR,60-64,f,urban,29050
2019,BY-HR,60-64,m,rural,9611
2019,BY-HR,60-64,m,total,30352
2019,BY-HR,60-64,m,urban,20741
2019,BY-HR,60-64,t,rural,19786
2019,BY-HR,60-64,t,total,69577
2019,BY-HR,60-64,t,urban,49791
2019,BY-HR,65-69,f,rural,8752
2019,BY-HR,65-69,f,total,31972
2019,BY-HR,65-69,f,urban,23220
2019,BY-HR,65-69,m,rural,6772
2019,BY-HR,65-69,m,total,21254
2019,BY-HR,65-69,m,urban,14482
2019,BY-HR,65-69,t,rural,15524
2019,BY-HR,65-69,t,total,53226
2019,BY-HR,65-69,t,urban,37702
2019,BY-HR,70-74,f,rural,8130
2019,BY-HR,70-74,f,total,23950
2019,BY-HR,70-74,f,urban,15820
2019,BY-HR,70-74,m,rural,4388
2019,BY-HR,70-74,m,total,13133
2019,BY-HR,70-74,m,urban,8745
2019,BY-HR,70-74,t,rural,12518
