territory_id,scenario,jumpoff,year,pop,q10,q90
c-azarychy,negative,official,2031,1105,,
c-azarychy,negative,official,2036,994,,
c-azarychy,negative,official,2041,898,,
c-azarychy,negative,official,2046,809,,
c-azarychy,negative,official,2051,722,,
c-azarychy,negative,official,2056,640,,
c-azarychy,negative,official,2061,562,,
c-azarychy,negative,official,2066,490,,
c-azarychy,negative,official,2071,426,,
c-azarychy,negative,official,2075,381,,
c-azarychy,optimistic,official,2026,1221,,
c-azarychy,optimistic,official,2031,1134,,
c-azarychy,optimistic,official,2036,1057,,
c-azarychy,optimistic,official,2041,996,,
c-azarychy,optimistic,official,2046,942,,
c-azarychy,optimistic,official,2051,890,,
c-azarychy,optimistic,official,2056,837,,
c-azarychy,optimistic,official,2061,788,,
c-azarychy,optimistic,official,2066,745,,
c-azarychy,optimistic,official,2071,709,,
c-azarychy,optimistic,official,2075,686,,
c-babrujsk,base,official,2026,204103,,
c-babrujsk,base,official,2031,195350,,
c-babrujsk,base,official,2036,185902,,
c-babrujsk,base,official,2041,177419,,
c-babrujsk,base,official,2046,168643,,
c-babrujsk,base,official,2051,159721,,
c-babrujsk,base,official,2056,150005,,
c-babrujsk,base,official,2061,140390,,
c-babrujsk,base,official,2066,130765,,
c-babrujsk,base,official,2071,122116,,
c-babrujsk,base,official,2075,115662,,
c-babrujsk,negative,official,2026,204103,,
c-babrujsk,negative,official,2031,190866,,
c-babrujsk,negative,official,2036,176520,,
c-babrujsk,negative,official,2041,163816,,
c-babrujsk,negative,official,2046,150814,,
c-babrujsk,negative,official,2051,137745,,
c-babrujsk,negative,official,2056,124695,,
c-babrujsk,negative,official,2061,111727,,
c-babrujsk,negative,official,2066,98999,,
c-babrujsk,negative,official,2071,87248,,
c-babrujsk,negative,official,2075,78712,,
c-babrujsk,optimistic,official,2026,204103,,
c-babrujsk,optimistic,official,2031,196262,,
c-babrujsk,optimistic,official,2036,188300,,
c-babrujsk,optimistic,official,2041,182466,,
c-babrujsk,optimistic,official,2046,176838,,
c-babrujsk,optimistic,official,2051,171278,,
c-babrujsk,optimistic,official,2056,164940,,
c-babrujsk,optimistic,official,2061,158598,,
c-babrujsk,optimistic,official,2066,152335,,
c-babrujsk,optimistic,official,2071,147319,,
c-babrujsk,optimistic,official,2075,143902,,
c-bahusheusk,base,official,2026,2222,,
c-bahusheusk,base,official,2031,2025,,
c-bahusheusk,base,official,2036,1833,,
c-bahusheusk,base,official,2041,1653,,
c-bahusheusk,base,official,2046,1487,,
c-bahusheusk,base,official,2051,1330,,
c-bahusheusk,base,official,2056,1187,,
c-bahusheusk,base,official,2061,1052,,
c-bahusheusk,base,official,2066,933,,
c-bahusheusk,base,official,2071,824,,
c-bahusheusk,base,official,2075,751,,
c-bahusheusk,negative,official,2026,2222,,
c-bahusheusk,negative,official,2031,1988,,
c-bahusheusk,negative,official,2036,1756,,
c-bahusheusk,negative,official,2041,1544,,
c-bahusheusk,negative,official,2046,1349,,
c-bahusheusk,negative,official,2051,1169,,
c-bahusheusk,negative,official,2056,1008,,
c-bahusheusk,negative,official,2061,862,,
c-bahusheusk,negative,official,2066,732,,
c-bahusheusk,negative,official,2071,616,,
c-bahusheusk,negative,official,2075,536,,
c-bahusheusk,optimistic,official,2026,2222,,
c-bahusheusk,optimistic,official,2031,2033,,
c-bahusheusk,optimistic,official,2036,1854,,
c-bahusheusk,optimistic,official,2041,1695,,
c-bahusheusk,optimistic,official,2046,1551,,
c-bahusheusk,optimistic,official,2051,1415,,
c-bahusheusk,optimistic,official,2056,1290,,
c-bahusheusk,optimistic,official,2061,1170,,
c-bahusheusk,optimistic,official,2066,1063,,
c-bahusheusk,optimistic,official,2071,966,,
c-bahusheusk,optimistic,official,2075,903,,
c-balbasava,base,official,2026,3175,,
c-balbasava,base,official,2031,2932,,
c-balbasava,base,official,2036,2693,,
c-balbasava,base,official,2041,2473,,
c-balbasava,base,official,2046,2263,,
c-balbasava,base,official,2051,2059,,
c-balbasava,base,official,2056,1854,,
c-balbasava,base,official,2061,1663,,
c-balbasava,base,official,2066,1488,,
c-balbasava,base,official,2071,1331,,
c-balbasava,base,official,2075,1222,,
c-balbasava,negative,official,2026,3175,,
c-balbasava,negative,official,2031,2877,,
c-balbasava,negative,official,2036,2580,,
c-balbasava,negative,official,2041,2310,,
c-balbasava,negative,official,2046,2055,,
c-balbasava,negative,official,2051,1809,,
c-balbasava,negative,official,2056,1574,,
c-balbasava,negative,official,2061,1357,,
c-balbasava,negative,official,2066,1160,,
c-balbasava,negative,official,2071,985,,
c-balbasava,negative,official,2075,864,,
c-balbasava,optimistic,official,2026,3175,,
c-balbasava,optimistic,official,2031,2943,,
c-balbasava,optimistic,official,2036,2723,,
c-balbasava,optimistic,official,2041,2534,,
c-balbasava,optimistic,official,2046,2360,,
c-balbasava,optimistic,official,2051,2191,,
c-balbasava,optimistic,official,2056,2019,,
c-balbasava,optimistic,official,2061,1857,,
c-balbasava,optimistic,official,2066,1707,,
c-balbasava,optimistic,official,2071,1578,,
c-balbasava,optimistic,official,2075,1491,,
c-balshavik,base,official,2026,2745,,
c-balshavik,base,official,2031,2688,,
c-balshavik,base,official,2036,2617,,
c-balshavik,base,official,2041,2526,,
c-balshavik,base,official,2046,2433,,
c-balshavik,base,official,2051,2332,,
c-balshavik,base,official,2056,2224,,
c-balshavik,base,official,2061,2107,,
c-balshavik,base,official,2066,1984,,
c-balshavik,base,official,2071,1858,,
