territory_id,oblast,year,age_group,sex,locality,pop
r-biarozauski,BY-BR,2019,80 и старше,f,urban,871
r-biarozauski,BY-BR,2019,80 и старше,m,rural,393
r-biarozauski,BY-BR,2019,80 и старше,m,urban,318
r-brescki,BY-BR,2019,0-4,f,rural,1502
r-brescki,BY-BR,2019,0-4,f,urban,22
r-brescki,BY-BR,2019,0-4,m,rural,1580
r-brescki,BY-BR,2019,0-4,m,urban,21
r-brescki,BY-BR,2019,5-9,f,rural,1583
r-brescki,BY-BR,2019,5-9,f,urban,31
r-brescki,BY-BR,2019,5-9,m,rural,1691
r-brescki,BY-BR,2019,5-9,m,urban,33
r-brescki,BY-BR,2019,10-14,f,rural,1413
r-brescki,BY-BR,2019,10-14,f,urban,20
r-brescki,BY-BR,2019,10-14,m,rural,1448
r-brescki,BY-BR,2019,10-14,m,urban,30
r-brescki,BY-BR,2019,15-19,f,rural,869
r-brescki,BY-BR,2019,15-19,f,urban,13
r-brescki,BY-BR,2019,15-19,m,rural,999
r-brescki,BY-BR,2019,15-19,m,urban,21
r-brescki,BY-BR,2019,20-24,f,rural,793
r-brescki,BY-BR,2019,20-24,f,urban,18
r-brescki,BY-BR,2019,20-24,m,rural,896
r-brescki,BY-BR,2019,20-24,m,urban,70
r-brescki,BY-BR,2019,25-29,f,rural,1204
r-brescki,BY-BR,2019,25-29,f,urban,29
r-brescki,BY-BR,2019,25-29,m,rural,1195
r-brescki,BY-BR,2019,25-29,m,urban,25
r-brescki,BY-BR,2019,30-34,f,rural,1751
r-brescki,BY-BR,2019,30-34,f,urban,26
r-brescki,BY-BR,2019,30-34,m,rural,1651
r-brescki,BY-BR,2019,30-34,m,urban,28
r-brescki,BY-BR,2019,35-39,f,rural,1815
r-brescki,BY-BR,2019,35-39,f,urban,33
r-brescki,BY-BR,2019,35-39,m,rural,1772
r-brescki,BY-BR,2019,35-39,m,urban,36
r-brescki,BY-BR,2019,40-44,f,rural,1585
r-brescki,BY-BR,2019,40-44,f,urban,53
r-brescki,BY-BR,2019,40-44,m,rural,1530
r-brescki,BY-BR,2019,40-44,m,urban,37
r-brescki,BY-BR,2019,45-49,f,rural,1354
r-brescki,BY-BR,2019,45-49,f,urban,38
r-brescki,BY-BR,2019,45-49,m,rural,1349
r-brescki,BY-BR,2019,45-49,m,urban,38
r-brescki,BY-BR,2019,50-54,f,rural,1524
r-brescki,BY-BR,2019,50-54,f,urban,45
r-brescki,BY-BR,2019,50-54,m,rural,1454
r-brescki,BY-BR,2019,50-54,m,urban,38
r-brescki,BY-BR,2019,55-59,f,rural,1880
r-brescki,BY-BR,2019,55-59,f,urban,54
r-brescki,BY-BR,2019,55-59,m,rural,1721
r-brescki,BY-BR,2019,55-59,m,urban,46
r-brescki,BY-BR,2019,60-64,f,rural,1747
r-brescki,BY-BR,2019,60-64,f,urban,56
r-brescki,BY-BR,2019,60-64,m,rural,1633
r-brescki,BY-BR,2019,60-64,m,urban,50
r-brescki,BY-BR,2019,65-69,f,rural,1349
r-brescki,BY-BR,2019,65-69,f,urban,49
r-brescki,BY-BR,2019,65-69,m,rural,939
r-brescki,BY-BR,2019,65-69,m,urban,55
r-brescki,BY-BR,2019,70-74,f,rural,863
r-brescki,BY-BR,2019,70-74,f,urban,39
r-brescki,BY-BR,2019,70-74,m,rural,540
r-brescki,BY-BR,2019,70-74,m,urban,23
r-brescki,BY-BR,2019,75-79,f,rural,643
r-brescki,BY-BR,2019,75-79,f,urban,36
r-brescki,BY-BR,2019,75-79,m,rural,346
r-brescki,BY-BR,2019,75-79,m,urban,15
r-brescki,BY-BR,2019,80 и старше,f,rural,1311
r-brescki,BY-BR,2019,80 и старше,f,urban,83
r-brescki,BY-BR,2019,80 и старше,m,rural,389
r-brescki,BY-BR,2019,80 и старше,m,urban,33
r-drahichynski,BY-BR,2019,0-4,f,rural,450
r-drahichynski,BY-BR,2019,0-4,f,urban,530
r-drahichynski,BY-BR,2019,0-4,m,rural,457
r-drahichynski,BY-BR,2019,0-4,m,urban,523
r-drahichynski,BY-BR,2019,5-9,f,rural,492
r-drahichynski,BY-BR,2019,5-9,f,urban,546
r-drahichynski,BY-BR,2019,5-9,m,rural,488
r-drahichynski,BY-BR,2019,5-9,m,urban,609
r-drahichynski,BY-BR,2019,10-14,f,rural,571
r-drahichynski,BY-BR,2019,10-14,f,urban,574
r-drahichynski,BY-BR,2019,10-14,m,rural,569
r-drahichynski,BY-BR,2019,10-14,m,urban,582
r-drahichynski,BY-BR,2019,15-19,f,rural,345
r-drahichynski,BY-BR,2019,15-19,f,urban,367
r-drahichynski,BY-BR,2019,15-19,m,rural,367
r-drahichynski,BY-BR,2019,15-19,m,urban,447
r-drahichynski,BY-BR,2019,20-24,f,rural,360
r-drahichynski,BY-BR,2019,20-24,f,urban,310
r-drahichynski,BY-BR,2019,20-24,m,rural,487
r-drahichynski,BY-BR,2019,20-24,m,urban,300
r-drahichynski,BY-BR,2019,25-29,f,rural,368
r-drahichynski,BY-BR,2019,25-29,f,urban,438
r-drahichynski,BY-BR,2019,25-29,m,rural,558
r-drahichynski,BY-BR,2019,25-29,m,urban,429
r-drahichynski,BY-BR,2019,30-34,f,rural,397
r-drahichynski,BY-BR,2019,30-34,f,urban,616
r-drahichynski,BY-BR,2019,30-34,m,rural,475
r-drahichynski,BY-BR,2019,30-34,m,urban,599
r-drahichynski,BY-BR,2019,35-39,f,rural,446
