scenario,city_id,epoch,fixed_cells,core_cells,built_fixed_m2,built_core_m2,built_edge_m2,built_buffer_m2
t05_c0,c-chervien,1990,2697,285,701156.0,402851.0,206032.0,92273.0
t05_c0,c-chojniki,1990,3456,281,1317194.0,521394.0,623509.0,172291.0
t05_c0,c-dobrush,1990,3615,354,1844222.0,735985.0,946115.0,162122.0
t05_c0,c-drahichyn,1990,2922,416,1155159.0,791787.0,207220.0,156152.0
t05_c0,c-dziarzhynsk,1990,3327,402,1158093.0,789049.0,283840.0,85204.0
t05_c0,c-fanipal,1990,2293,113,872358.0,344693.0,298801.0,228864.0
t05_c0,c-hancavichy,1990,2565,257,1130447.0,577646.0,465306.0,87495.0
t05_c0,c-haradok,1990,1223,140,549085.0,250250.0,22578.0,276257.0
t05_c0,c-hlybokaje,1990,3473,722,1846605.0,1640123.0,140984.0,65498.0
t05_c0,c-homiel,1990,14159,5163,16873558.0,14563274.0,1806877.0,503407.0
t05_c0,c-horki,1990,3955,367,1851366.0,853183.0,887763.0,110420.0
t05_c0,c-hrodna,1990,15417,1592,12335174.0,4543219.0,6996595.0,795360.0
t05_c0,c-ivacevichy,1990,3541,530,1635427.0,1193702.0,314999.0,126726.0
t05_c0,c-ivanava,1990,3921,493,1364222.0,983958.0,340866.0,39398.0
t05_c0,c-jelsk,1990,2431,111,722117.0,178103.0,444023.0,99991.0
t05_c0,c-kalinkavichy,1990,3961,906,2704736.0,2220094.0,419891.0,64751.0
t05_c0,c-kapyl,1990,2137,151,665071.0,272932.0,345604.0,46535.0
t05_c0,c-kasciukovichy,1990,1674,315,1024065.0,612066.0,43658.0,368341.0
t05_c0,c-kleck,1990,2342,271,1150414.0,721512.0,369626.0,59276.0
t05_c0,c-klimavichy,1990,3636,257,1793479.0,467222.0,1070696.0,255561.0
t05_c0,c-kobryn,1990,5950,538,3828835.0,1354648.0,2066605.0,407582.0
