scenario,city_id,epoch,seed_found,footprint_cells,built_dyn_m2,perimeter_edges,merged_with
t05_c0,c-homiel,1990,1,5843,15374561.0,2880,
t05_c0,c-horki,1990,1,450,923028.0,368,
t05_c0,c-hrodna,1990,1,1871,4872971.0,1084,
t05_c0,c-ivacevichy,1990,1,576,1230072.0,444,
t05_c0,c-ivanava,1990,1,571,1068295.0,520,
t05_c0,c-jelsk,1990,1,271,370372.0,402,
t05_c0,c-kalinkavichy,1990,1,1188,2553277.0,776,
t05_c0,c-kapyl,1990,1,356,579533.0,374,
t05_c0,c-kasciukovichy,1990,1,346,637074.0,220,
t05_c0,c-kleck,1990,1,305,749053.0,170,
t05_c0,c-klimavichy,1990,1,675,1197692.0,698,
t05_c0,c-kobryn,1990,1,613,1423562.0,394,
t05_c0,c-krychau,1990,1,681,1685391.0,406,
t05_c0,c-lachavichy,1990,1,226,440426.0,168,
t05_c0,c-lahojsk,1990,1,158,214723.0,206,
t05_c0,c-lelchycy,1990,1,381,647089.0,414,
t05_c0,c-lepiel,1990,1,605,1304893.0,406,
t05_c0,c-lida,1990,1,1499,3421389.0,1052,
t05_c0,c-luban,1990,1,357,559491.0,288,
t05_c0,c-luniniec,1990,1,712,1359775.0,492,
t05_c0,c-machulishchy,1990,1,152,260187.0,222,
t05_c0,c-mahilou,1990,1,3061,7679285.0,1940,
t05_c0,c-maladziechna,1990,1,2154,5285134.0,1348,
t05_c0,c-malaryta,1990,1,385,685323.0,352,
t05_c0,c-marjina-horka,1990,1,431,744778.0,462,
t05_c0,c-masty,1990,1,125,198915.0,138,
t05_c0,c-mazyr,1990,1,609,1203683.0,712,
t05_c0,c-mikashevichy,1990,1,310,473576.0,376,
t05_c0,c-minsk,1990,1,11500,30112836.0,5634,
t05_c0,c-mscislau,1990,1,443,811488.0,352,
t05_c0,c-naroula,1990,1,253,400320.0,230,
t05_c0,c-navahrudak,1990,1,773,1559657.0,720,
t05_c0,c-navapolack,1990,1,523,980341.0,484,
t05_c0,c-niasvizh,1990,1,263,436810.0,240,
t05_c0,c-novalukoml,1990,1,112,252947.0,114,
t05_c0,c-orsha,1990,1,2070,4997407.0,1198,
t05_c0,c-pastavy,1990,1,784,1473293.0,732,
t05_c0,c-pietrykau,1990,1,382,770701.0,298,
t05_c0,c-pinsk,1990,1,2253,5690489.0,1204,
t05_c0,c-polack,1990,1,1419,2801300.0,1186,
t05_c0,c-pruzhany,1990,1,568,1242548.0,368,
t05_c0,c-rahachou,1990,1,724,1759047.0,348,
t05_c0,c-rechyca,1990,1,2123,5273620.0,1210,
t05_c0,c-salihorsk,1990,1,552,1313036.0,296,
t05_c0,c-shchuchyn,1990,1,235,420634.0,196,
t05_c0,c-shklou,1990,1,535,1152625.0,322,
t05_c0,c-skidziel,1990,1,232,371751.0,264,
t05_c0,c-slonim,1990,1,591,1153222.0,468,
t05_c0,c-sluck,1990,1,1458,3042297.0,1224,
t05_c0,c-smalavichy,1990,1,517,921608.0,514,
t05_c0,c-smarhon,1990,1,727,1269492.0,784,
t05_c0,c-staryja-darohi,1990,1,313,654144.0,254,
t05_c0,c-stolin,1990,1,448,825837.0,382,
t05_c0,c-stoubcy,1990,1,433,805185.0,360,
t05_c0,c-svietlahorsk,1990,1,1069,2608770.0,1070,
t05_c0,c-talachyn,1990,1,253,382495.0,282,
t05_c0,c-uzda,1990,1,183,250268.0,274,
t05_c0,c-valozhyn,1990,1,336,517625.0,446,
t05_c0,c-vasilevichy,1990,1,289,383524.0,420,
t05_c0,c-vaukavysk,1990,1,1025,2106196.0,860,
t05_c0,c-viciebsk,1990,1,1393,3689912.0,582,
t05_c0,c-vietka,1990,1,419,749698.0,334,
t05_c0,c-vilejka,1990,1,789,1630252.0,586,
t05_c0,c-zaslauje,1990,1,266,706232.0,182,
t05_c0,c-zhabinka,1990,1,339,653195.0,350,
t05_c0,c-zhlobin,1990,1,1460,3307293.0,864,
t05_c0,c-zhodzina,1990,1,722,1853345.0,630,
t05_c0,c-zhytkavichy,1990,1,630,1176065.0,482,
t05_c0,c-ashmiany,1995,1,500,1037117.0,390,
t05_c0,c-asipovichy,1995,1,1204,2743998.0,716,
t05_c0,c-astraviec,1995,1,389,678411.0,388,
t05_c0,c-babrujsk,1995,1,4387,11676881.0,2110,
t05_c0,c-baran,1995,1,182,357280.0,176,
t05_c0,c-baranavichy,1995,1,3600,9601367.0,1778,
t05_c0,c-barysau,1995,1,2536,6747685.0,1236,
t05_c0,c-bialynichy,1995,1,445,776765.0,328,
t05_c0,c-biaroza,1995,1,703,1404812.0,504,
t05_c0,c-biarozauka,1995,1,348,716252.0,240,
t05_c0,c-bielaaziorsk,1995,1,516,860587.0,568,
t05_c0,c-bierazino,1995,1,636,1226702.0,508,
t05_c0,c-braslau,1995,1,376,716296.0,384,
t05_c0,c-brest,1995,1,4371,11029627.0,2650,
t05_c0,c-bychau,1995,1,813,1517629.0,680,
t05_c0,c-chashniki,1995,1,320,547790.0,268,
t05_c0,c-chavusy,1995,1,323,579621.0,290,
t05_c0,c-chervien,1995,1,447,656063.0,454,
t05_c0,c-chojniki,1995,1,367,636482.0,384,
t05_c0,c-dobrush,1995,1,523,1026969.0,410,
t05_c0,c-drahichyn,1995,1,601,1086491.0,412,
t05_c0,c-dziarzhynsk,1995,1,658,1286409.0,508,
t05_c0,c-fanipal,1995,1,163,222505.0,210,
t05_c0,c-hancavichy,1995,1,627,1183924.0,540,
t05_c0,c-haradok,1995,1,169,291544.0,156,
t05_c0,c-hlybokaje,1995,1,888,1987186.0,616,
t05_c0,c-homiel,1995,1,6346,17020111.0,2764,
t05_c0,c-horki,1995,1,823,1667705.0,666,
t05_c0,c-hrodna,1995,1,2031,5299679.0,1116,
t05_c0,c-ivacevichy,1995,1,779,1615420.0,648,
t05_c0,c-ivanava,1995,1,709,1375902.0,522,
t05_c0,c-jelsk,1995,1,447,676495.0,536,
t05_c0,c-kalinkavichy,1995,1,1301,3042573.0,672,
t05_c0,c-kapyl,1995,1,420,748006.0,326,
t05_c0,c-kasciukovichy,1995,1,368,758012.0,204,
t05_c0,c-kleck,1995,1,373,863829.0,222,
t05_c0,c-klimavichy,1995,1,880,1694465.0,750,
t05_c0,c-kobryn,1995,1,782,1755558.0,522,
t05_c0,c-krychau,1995,1,707,1774954.0,418,
t05_c0,c-lachavichy,1995,1,294,574426.0,200,
t05_c0,c-lahojsk,1995,1,351,592504.0,296,
t05_c0,c-lelchycy,1995,1,524,906333.0,424,
t05_c0,c-lepiel,1995,1,678,1501313.0,438,
t05_c0,c-lida,1995,1,1627,3896702.0,1010,
t05_c0,c-luban,1995,1,430,711736.0,322,
t05_c0,c-luniniec,1995,1,849,1717730.0,516,
t05_c0,c-machulishchy,1995,1,186,324635.0,242,
t05_c0,c-mahilou,1995,1,3422,8534026.0,2222,
t05_c0,c-maladziechna,1995,1,2353,5818703.0,1284,
t05_c0,c-malaryta,1995,1,440,830210.0,326,
t05_c0,c-marjina-horka,1995,1,676,1160862.0,640,
t05_c0,c-masty,1995,1,152,256794.0,152,
t05_c0,c-mazyr,1995,1,1525,3208732.0,1506,
t05_c0,c-mikashevichy,1995,1,409,688769.0,436,
t05_c0,c-minsk,1995,1,13639,35651138.0,6466,
t05_c0,c-mscislau,1995,1,497,953641.0,372,
t05_c0,c-naroula,1995,1,260,425114.0,216,
t05_c0,c-navahrudak,1995,1,883,1881912.0,638,
t05_c0,c-navapolack,1995,1,569,1091267.0,492,
t05_c0,c-niasvizh,1995,1,325,627288.0,210,
t05_c0,c-novalukoml,1995,1,181,348224.0,178,
t05_c0,c-orsha,1995,1,2571,6277200.0,1392,
t05_c0,c-pastavy,1995,1,837,1663384.0,710,
t05_c0,c-pietrykau,1995,1,437,919667.0,296,
t05_c0,c-pinsk,1995,1,2492,6405760.0,1186,
t05_c0,c-polack,1995,1,1998,4114394.0,1504,
t05_c0,c-pruzhany,1995,1,660,1433903.0,402,
t05_c0,c-rahachou,1995,1,754,1957686.0,334,
t05_c0,c-rechyca,1995,1,2356,5904689.0,1282,
t05_c0,c-salihorsk,1995,1,757,1661564.0,570,
t05_c0,c-shchuchyn,1995,1,277,519789.0,182,
t05_c0,c-shklou,1995,1,571,1273971.0,348,
t05_c0,c-skidziel,1995,1,258,423612.0,260,
